Button,Byte 0,Byte 1,Byte 2,Byte 3,Speed 1,Speed 2,Speed 3
11,No Response,cycles,No Response,No Response,No Response,No Response,No Response
27,04,cycles,80,0D,91,92,93
30,04,cycles,40,0D,A1,A2,A3
40,04,cycles,40,2D,D1,D2,D3
45,04,cycles,40,2D,E1,E2,E3
